model,formula,log_likelihood,aic,bic,pseudo_r2,llr_pvalue
basic_treatment_only,converted ~ treat,-105588.96890019193,211181.93780038386,211203.0829853223,7.940431342889909e-06,0.19534257648029796
country_adjusted,converted ~ treat + C(country),-105587.39002819493,211182.78005638986,211225.07042626673,2.2893313983196606e-05,0.18431689755791617
country_time_adjusted,converted ~ treat + C(country) + C(time_bucket),-105585.02794123167,211184.05588246335,211258.06402974788,4.5263720966803866e-05,0.14450519813450802
country_interaction,"converted ~ treat * C(country, Treatment(reference='US'))",-105586.16928385457,211184.33856770914,211247.77412252445,3.445450886785384e-05,0.20090350783350644
