bootstrap_iteration,bootstrap_uplift
1,-1.7924525906438293
2,-1.121413193665239
3,-2.889573887253626
4,-0.5091043376797383
5,-1.007386046297381
6,-2.0116305494051243
7,-0.04427898164938355
8,0.08898723518091066
9,-1.143142240116647
10,0.22701826617242374
11,-1.9093273458368372
12,-2.442375139972073
13,-0.47310642647781104
14,-0.5565572937204373
15,-1.7979845152693752
16,-0.9657228040040436
17,-0.5969928851647687
18,-1.1320685122821175
19,-3.2173749836220367
20,-0.5130685136054373
21,-1.9567548213706862
22,-1.3572630581006464
23,-0.8313991331748325
24,-0.36242839891710443
25,-1.5119630294219546
26,-1.5310977388225107
27,-1.3623988639656823
28,-0.33393482208245046
29,-0.7362616434116722
30,0.15703797115787232
31,0.4057623480273945
32,-1.0906515987228684
33,-2.614902610897905
34,-1.6869192502927275
35,-2.8195178684446374
36,-1.6270455004676523
37,0.8834002353712582
38,-2.8105890713682298
39,-2.3593001066311294
40,-1.8980782141770685
41,-1.7772767382682044
42,-1.0236071315055635
43,-2.378331377359327
44,-1.0466536088553504
45,-0.49492930425355536
46,0.6200846130499763
47,-0.30587648255509653
48,-1.58275831268491
49,-2.6184847420549167
50,-1.9582852308298953
51,-0.004009487061760762
52,-3.0425360458219437
53,-2.7274555094284048
54,-1.2131002189423385
55,-0.6825841624654458
56,-2.5211442220664875
57,-2.5416578484455363
58,-2.1806473030996485
59,-1.2018258731844222
60,-2.405359665082286
61,-1.0341804488978774
62,1.2755117866750616
63,-1.3691554808427095
64,-0.5560405511789999
65,-3.8973897376479334
66,-1.2801503969224244
67,-1.4151461810326025
68,-2.528933605990149
69,-2.437721876800548
70,-2.070251896344248
71,-1.9925701205365922
72,-1.359496121601165
73,-0.6762476023897447
74,-1.395791855274078
75,-0.32225848393640305
76,-1.65980696492353
77,-2.0191009164974476
78,-0.5827557353821988
79,0.14104401298742864
80,-1.548213687734084
81,-1.1018474711873028
82,-1.8236339606108571
83,-1.1275878055975008
84,-2.584811787150112
85,-2.8204058177331857
86,-1.5508938072844676
87,-2.797281814968292
88,-0.03844133394005636
89,-0.5676138953103753
90,-2.7496114034381316
91,-0.9698853828768179
92,-1.0919627061507442
93,-0.5062002194815832
94,-1.9132323339970294
95,-1.7246426226760252
96,-2.0119683022743606
97,-3.6380038796869583
98,-2.4188146681684484
99,-0.48629657746456545
100,-2.3224598436559525
101,-0.2772433313488564
102,-0.40414387117204315
103,-2.880062147034503
104,-1.7958338010522243
105,-0.9260893687062285
106,-1.7246426226760252
107,-1.544281712592378
108,-0.9763721457388002
109,-1.4695818787557924
110,-2.777572962176234
111,-0.14275181760857727
112,-3.4278228457381696
113,-0.7106208415843561
114,-0.8424388490454937
115,-1.4529633483313356
116,-1.0917847218040058
117,-0.7414441835820439
118,-0.13629861823820288
119,-1.8084861321122068
120,-3.2477962416353985
121,-2.5421440140595344
122,-0.9024143128540116
123,-2.3167771972991136
124,0.6200684438704572
125,-0.09655922819238039
126,-1.689051742565331
127,-1.9649283082760878
128,-0.9309011625656249
129,-0.5305657319418681
130,-2.023395261517296
131,-1.7261455050603014
132,-2.7448866532627463
133,-1.5310156534487802
134,-1.395402865813482
135,-1.6290380269055535
136,-2.367191672681697
137,-3.4177450100754756
138,-0.21882469249878356
139,-2.199634796030672
140,-0.8540975013833807
141,-2.561705741726608
142,0.5834711464342095
143,-1.4026998342773564
144,-1.3798020932593922
145,-1.9681652054711642
146,-1.4724417693871827
147,-1.4354330620646145
148,-1.4965520079537655
149,-3.3231413786445416
150,-1.5156547740909692
151,-0.9530078746325105
152,-1.5896227455658016
153,-2.7498761563018967
154,-2.2119301900432813
155,-3.5545833536082845
156,-2.6525582257552736
157,-0.19560501617527654
158,-1.7924300182436161
159,-2.9429098131858584
160,-1.7692760467755613
161,-3.0005218185686675
162,-2.926633849453254
163,0.34479515890750756
164,-1.2970451011384465
165,-2.0558264730798204
166,-0.7979606978403395
167,-1.3757465571503518
168,-2.0296588183917765
169,-2.4653364314192734
170,-1.7927308106258244
171,0.6223179148801709
172,-3.516848979584207
173,-2.8916302356735573
174,-1.7044140944864992
175,-2.220153386801185
176,-2.291870942671833
177,-1.6291063832116406
178,-1.0839388112658588
179,0.5983322192162754
180,-0.6706263486413636
181,-2.4654101039086296
182,-2.827396490436036
183,-1.4282505065112423
184,-1.8945606895024674
185,-0.3458994593006697
186,-2.1055758773512574
187,-1.0539417126097717
188,-1.0086797232451683
189,-1.5405760833028643
190,-0.9207061222372283
191,-1.1432667547201856
192,-0.6854982709263168
193,-0.41635054920805087
194,0.5873924331969067
195,-1.4485886291264727
196,-0.3581028248344806
197,-0.8993864334300858
198,-0.13782529822435804
199,-2.151013703274219
200,-4.044678894619149
201,0.31798986376176286
202,-1.09089572168538
203,-0.40853822553876495
204,-1.4360681076724071
205,-3.3068289800356094
206,-1.4371535599848628
207,-0.6386484776273106
208,-0.594445923546248
209,-0.7378668419521267
210,0.24998734072634987
211,-1.9300529012609078
212,-1.0277028334363325
213,0.2690396405983184
214,-0.7481321949369334
215,-1.7465737236375338
216,-0.6905038726794077
217,-0.9648847972577393
218,0.6145336306362736
219,-1.6764627462063295
220,-0.8078645982449506
221,-0.8250844585658468
222,-2.9085068728947125
223,0.43298609669934024
224,-0.1726224014815828
225,-1.8433074385266326
226,-2.5521683896762033
227,-0.6552723996337931
228,-0.6938279959397297
229,0.8557807485136553
230,-0.14209004466585906
231,-1.7921293303757746
232,-2.494013894446766
233,0.5065268724008487
