country,old_users,new_users,old_conversions,new_conversions,old_cr_percent,new_cr_percent,absolute_lift_pp,relative_uplift_percent,z_statistic,p_value,decision,alpha,alpha_corrected,decision_bonferroni,original_uplift,mean_bootstrap_uplift,ci_lower,ci_upper,n_bootstrap,ci_contains_zero,final_interpretation
CA,7138,7256,848,811,11.880078453348277,11.176957001102537,-0.7031214522457405,-5.918491658172282,-1.3207947646834477,0.18656980582455607,Fail to reject H0,0.05,0.016666666666666666,Fail to reject H0,-5.918491658172282,-5.820678159877431,-14.291512636221114,3.1104589484183625,10000,True,No statistically significant difference.
UK,36100,35861,4330,4341,11.994459833795014,12.105072362733889,0.11061252893887485,0.9221968348021667,0.4557383489200235,0.6485781418824678,Fail to reject H0,0.05,0.016666666666666666,Fail to reject H0,0.9221968348021667,0.9266841871605644,-2.9974563216555747,4.951254807313627,10000,True,No statistically significant difference.
US,100988,101198,12171,11982,12.051926961619202,11.840154943773593,-0.21177201784561006,-1.7571631368164051,-1.4680105262167573,0.14210136366101697,Fail to reject H0,0.05,0.016666666666666666,Fail to reject H0,-1.7571631368164051,-1.7584117770857717,-4.09297519840181,0.6191851290698487,10000,True,No statistically significant difference.
